Source,Target,Weight
#Qanon,#SaveTheChildren,54
#SaveTheChildren,#TrustThePlan,21
#ChinaVirus,#FakeNews,15
#TheStormIsHere,#WWG1WGAWORLDWIDE,14
#CrimesAgainstHumanity,#Q,3
#TheGreatAwakeningWorldwide,#WWG1WGAWORLDWIDE,103
#COVIDIOT,#SignsYoureACOVIDIOT,6
#COVIDIOTS,#SignsYoureACOVIDIOT,1
#BigPharma,#BillGatesVirus,5
#QAnon,#Qanons,9
#PizzaGate,#QArmy,7
#DrainTheSwamp,#PizzaGate,7
#DrainTheSwamp,#QAnon,49
#DrainTheSwamp,#WWG1WGA,69
#QANON,#TheGreatAwakeningWorldwide,7
#QANON,#WWG1WGA_WORLDWIDE,7
#TheGreatAwakeningWorldwide,#WWG1WGA_WORLDWIDE,20
#BillGatesVirus,#COVIDIOT,2
#DrainTheSwamp,#Qanon,9
#BillGatesIsEvil,#Qanon,2
#BillGatesIsEvil,#WWG1WGA,15
#BillGatesIsEvil,#DrainTheSwamp,4
#ChinaVirus,#WWG1WGA,34
#ChineseVirus,#WWG1WGA,13
#ChinaLiedPeopleDied,#FakeNews,14
#ChineseVirus,#FireFauci,3
#ChinaLiedPeopleDied,#ChinaMustExplain,41
#DeepState,#PIZZAGATEISREAL,4
#DeepState,#QAnon2018,3
#DeepState,#QAnon2020,7
#CoronaHoax,#FakeNews,9
#Agenda21,#CrimesAgainstHumanity,5
#Agenda21,#GreatAwakening,3
#Agenda21,#WWG1WGA,9
#CrimesAgainstHumanity,#WWG1WGA,12
#WWG1WGA,#WWG1WGA_WORLDWIDE,105
#WWG1WGAWORLDWIDE,#WWG1WGA_WORLDWIDE,16
#endthelockdown,#plandemic,1
#DarkToLight,#Plandemic,1
#ChinaLiedPeopleDie,#FakeNewsMedia,1
#ChineseVirus,#QAnon,8
#ChineseVirus,#TheGreatAwakening,7
#ChineseVirus,#QArmy,3
#ChineseVirus,#DarkToLight,2
#DeepStateExposed,#WWG1WGAWORLDWIDE,5
#BillGatesVirus,#SaveTheChildren,3
#FauciFraud,#WWG1WGA,5
#FauciFraud,#QanonArmy,1
#QArmy,#Qanons,18
#DarkToLight,#GreatAwakeningWorldwide,17
#FauciFraud,#Qanon,3
#BillGatesBioTerrorist,#Qanon,2
#BillGatesBioTerrorist,#FauciFraud,4
#DeepState,#FauciFraud,13
#BillGatesBioTerrorist,#DeepState,4
#GreatAwakeningWorldwide,#WWG1WGA,42
#GreatAwakeningWorldwide,#WWG1WGAWORLDWIDE,20
#BoycottChina,#ChineseVirus19,8
#Qarmy,#TheGreatAwakeningWorldwide,31
#Qarmy,#WWG1WGAWORLDWIDE,36
#5GCoronavirus,#fakenews,4
#GreatAwakeningWorldwide,#TrustThePlan,6
#Qanon,#fakenews,3
#FireFauci,#QAnon,11
#FireFauci,#Plandemic,16
#Coronavirustruth,#QAnon,11
#Coronavirustruth,#WWG1WGA,10
#DarkToLight,#TheStormIsHere,14
#GreatAwakeningWorldwide,#QAnon,38
#GreatAwakening,#QAnon,170
#QAnon2020,#TheGreatAwakeningWorldwide,7
